model,regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error,signal_regime
random_forest,scaling_n,10,200,1,3.4445019794293814,0.5142197361376477,0.1700921058654785,,fixed
random_forest,scaling_n,10,200,2,3.15832439668743,0.5275396504624315,0.1664478778839111,,fixed
random_forest,scaling_n,10,200,3,3.3769314198107305,0.4902478998784786,0.1622600555419922,,fixed
random_forest,scaling_n,10,200,4,3.2484857248432353,0.5489749895787082,0.171598196029663,,fixed
random_forest,scaling_n,20,200,0,3.445619150039964,0.4764732267677932,0.1748597621917724,,fixed
random_forest,scaling_n,20,200,1,3.623252773570757,0.4624928375058648,0.1731209754943847,,fixed
random_forest,scaling_n,20,200,2,3.2590501970736767,0.4969235401203292,0.1716120243072509,,fixed
random_forest,scaling_n,20,200,3,3.535805044700541,0.4411552644290213,0.1697587966918945,,fixed
random_forest,scaling_n,20,200,4,3.2706889169331888,0.5427884651573294,0.1858930587768554,,fixed
random_forest,scaling_n,50,200,0,3.5261897516926477,0.4517032024622914,0.1791379451751709,,fixed
random_forest,scaling_n,50,200,1,3.620623431948406,0.4632726766399284,0.1621508598327636,,fixed
random_forest,scaling_n,50,200,2,3.301556802254686,0.4837150753896497,0.1610538959503173,,fixed
random_forest,scaling_n,50,200,3,3.498925242046116,0.4527523959253542,0.165593147277832,,fixed
random_forest,scaling_n,50,200,4,3.493141823294135,0.4784797970082889,0.1630809307098388,,fixed
random_forest,scaling_n,100,400,0,3.1531015016055437,0.5469732449877085,0.1763110160827636,,fixed
random_forest,scaling_n,100,400,1,3.5384447385205524,0.5392318618423508,0.182474136352539,,fixed
random_forest,scaling_n,100,400,2,3.2554257745105946,0.5573191790768435,0.1860008239746093,,fixed
random_forest,scaling_n,100,400,3,3.113322158158925,0.5854011851050138,0.1818709373474121,,fixed
random_forest,scaling_n,100,400,4,3.1073612579885053,0.6108895952667976,0.1831212043762207,,fixed
random_forest,scaling_n,200,800,0,2.875962152626414,0.6303297624227041,0.2492249011993408,,fixed
random_forest,scaling_n,200,800,1,2.924798565062438,0.663462024023239,0.2372610569000244,,fixed
random_forest,scaling_n,200,800,2,2.8773653086726396,0.6713036963532208,0.2348830699920654,,fixed
random_forest,scaling_n,200,800,3,2.7381830734027597,0.668372391231289,0.2477939128875732,,fixed
random_forest,scaling_n,200,800,4,2.927886176083617,0.6680228647940454,0.2382128238677978,,fixed
random_forest,scaling_n,500,2000,0,2.5785683927134313,0.7280799225079446,0.7097861766815186,,fixed
random_forest,scaling_n,500,2000,1,2.2400837406132417,0.776095995619311,0.7828919887542725,,fixed
random_forest,scaling_n,500,2000,2,2.305901725677329,0.7413280432713711,0.7383527755737305,,fixed
random_forest,scaling_n,500,2000,3,2.4907886230670235,0.7241795890631012,0.7254519462585449,,fixed
random_forest,scaling_n,500,2000,4,2.450041782753409,0.7413416892002341,0.7162868976593018,,fixed
random_forest,scaling_n,1000,2000,0,2.508718493315503,0.7426122768877956,0.9733622074127196,,fixed
random_forest,scaling_n,1000,2000,1,2.1686591089560823,0.7901466364033616,0.9869911670684814,,fixed
random_forest,scaling_n,1000,2000,2,2.248013145215367,0.7541526946277337,0.9677879810333252,,fixed
random_forest,scaling_n,1000,2000,3,2.446549960603405,0.733890222327976,0.9442400932312012,,fixed
random_forest,scaling_n,1000,2000,4,2.4139429038889735,0.7489076723267252,0.9839329719543456,,fixed
random_forest,scaling_n,2000,2000,0,2.4699694314151976,0.7505019691336191,1.369473934173584,,fixed
random_forest,scaling_n,2000,2000,1,2.124655266348107,0.7985764242802915,1.4156742095947266,,fixed
random_forest,scaling_n,2000,2000,2,2.202416445118784,0.7640246482729713,1.414815902709961,,fixed
random_forest,scaling_n,2000,2000,3,2.423765486523522,0.7388236498697003,1.340348243713379,,fixed
random_forest,scaling_n,2000,2000,4,2.3735023325379108,0.7572502557317699,1.3895070552825928,,fixed
random_forest,scaling_n,5000,2000,0,2.462056142647889,0.7520980919265243,2.2474119663238525,,fixed
random_forest,scaling_n,5000,2000,1,2.087139212446192,0.8056268878885254,2.271705865859986,,fixed
random_forest,scaling_n,5000,2000,2,2.192585087221763,0.7661266849853665,2.24707293510437,,fixed
random_forest,scaling_n,5000,2000,3,2.404123175978183,0.7430396680361022,2.228545665740967,,fixed
random_forest,scaling_n,5000,2000,4,2.3384547897422405,0.7643662953919383,2.278538227081299,,fixed
random_forest,scaling_n,10000,2000,0,2.4150754494771056,0.7614687018456566,3.315103054046631,,fixed
random_forest,scaling_n,10000,2000,1,2.0960715313717415,0.8039596125805126,3.438591957092285,,fixed
random_forest,scaling_n,10000,2000,2,2.1518466920385864,0.7747367148586808,3.2555689811706543,,fixed
random_forest,scaling_n,10000,2000,3,2.387716990805925,0.7465347920264385,3.208326816558838,,fixed
random_forest,scaling_n,10000,2000,4,2.3063461161906114,0.7707927126944052,3.282788038253784,,fixed
ridge,fixed_n,10,2000,0,4.124562883530196,0.3042714522268275,0.0044958591461181,,fixed
ridge,fixed_n,10,2000,1,4.126378813607152,0.2402485404058181,0.0015089511871337,,fixed
ridge,fixed_n,10,2000,2,3.0556126602321614,0.5457819785572777,0.0014729499816894,,fixed
ridge,fixed_n,10,2000,3,3.1957364129369648,0.5459595382002551,0.0014588832855224,,fixed
ridge,fixed_n,10,2000,4,4.104206597315494,0.2741650376851419,0.0014488697052001,,fixed
ridge,fixed_n,20,2000,0,3.187194879659476,0.5845667974493676,0.0019669532775878,,fixed
ridge,fixed_n,20,2000,1,4.133557414818236,0.2376027838838509,0.0019431114196777,,fixed
ridge,fixed_n,20,2000,2,3.0226331480604753,0.5555339011703848,0.0019600391387939,,fixed
ridge,fixed_n,20,2000,3,3.209145243647251,0.5421413733798379,0.0019690990447998,,fixed
ridge,fixed_n,20,2000,4,4.096235421348863,0.2769817280882319,0.0020227432250976,,fixed
ridge,fixed_n,50,2000,0,2.905507837409304,0.6547544670735701,0.0037150382995605,,fixed
ridge,fixed_n,50,2000,1,4.082846953239865,0.256194210708306,0.0036017894744873,,fixed
ridge,fixed_n,50,2000,2,2.9160240567399014,0.5863338687032358,0.003633975982666,,fixed
ridge,fixed_n,50,2000,3,3.064259133814217,0.582550800069894,0.0036389827728271,,fixed
ridge,fixed_n,50,2000,4,4.056736849459207,0.2908581282117261,0.0035891532897949,,fixed
ridge,fixed_n,100,2000,0,2.89507463511431,0.6572294556554896,0.0075459480285644,,fixed
ridge,fixed_n,100,2000,1,3.028374209736064,0.5907841646925456,0.0073111057281494,,fixed
