model,regime,signal_regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error
xgboost,fixed_n,scaling,100,2000,3,2.346632415609484,0.7551823157482245,1.0902559757232666,
xgboost,fixed_n,scaling,100,2000,4,2.2245891972833127,0.7867548790839849,1.0717833042144775,
xgboost,fixed_n,scaling,200,2000,0,1.468077785394526,0.6793778064708147,1.50423002243042,
xgboost,fixed_n,scaling,200,2000,1,1.461348991550485,0.6124902226026017,1.604292869567871,
xgboost,fixed_n,scaling,200,2000,2,1.4527484245124531,0.6745752559907174,1.7379541397094729,
xgboost,fixed_n,scaling,200,2000,3,1.4433260579572105,0.6676437481255668,1.591465950012207,
xgboost,fixed_n,scaling,200,2000,4,1.445557468882031,0.6803037976248256,1.8645141124725344,
xgboost,fixed_n,scaling,500,2000,0,11.386653155964838,0.5738598046416323,3.928477048873902,
xgboost,fixed_n,scaling,500,2000,1,11.022650838894863,0.632321868023227,3.7480430603027344,
xgboost,fixed_n,scaling,500,2000,2,12.440628381803412,0.554985812071509,3.759877920150757,
xgboost,fixed_n,scaling,500,2000,3,12.299235136476453,0.6022819118124414,3.735877990722656,
xgboost,fixed_n,scaling,500,2000,4,11.614104418449012,0.6170374018918332,3.7190840244293217,
xgboost,fixed_n,scaling,1000,2000,0,20.03535256926663,0.4194094887616573,6.925201892852783,
xgboost,fixed_n,scaling,1000,2000,1,21.00519575881832,0.3847852956214082,6.837906360626221,
xgboost,fixed_n,scaling,1000,2000,2,19.926348932686167,0.410693713174098,6.819918155670166,
